,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
0,1,Justin Jefferson*+,MIN,23,WR,17,17,184,128,69.6%,1809,14.1,8,80,57.6,64,9.8,7.5,106.4,0,JeffJu00
1,2,Tyreek Hill*+,MIA,28,WR,17,17,170,119,70.0%,1710,14.4,7,77,56.5,64,10.1,7.0,100.6,1,HillTy00
2,4,Stefon Diggs*,BUF,29,WR,16,16,154,108,70.1%,1429,13.2,11,74,64.3,53,9.3,6.8,89.3,1,DiggSt00
3,6,CeeDee Lamb*,DAL,23,WR,17,17,156,107,68.6%,1359,12.7,9,67,55.1,39,8.7,6.3,79.9,0,LambCe00
4,7,Amon-Ra St. Brown*,DET,23,WR,16,16,146,106,72.6%,1161,11.0,6,68,62.3,49,8.0,6.6,72.6,0,StxxAm00
5,8,Chris Godwin,TAM,26,WR,15,13,142,104,73.2%,1023,9.8,3,53,60.6,44,7.2,6.9,68.2,2,GodwCh00
6,9,Davante Adams*+,LVR,30,WR,17,17,180,100,55.6%,1516,15.2,14,65,46.1,60,8.4,5.9,89.2,1,AdamDa01
7,10,Michael Pittman Jr.,IND,25,WR,16,16,141,99,70.2%,925,9.3,4,51,53.9,28,6.6,6.2,57.8,2,PittMi01
8,11,DeVonta Smith,PHI,24,WR,17,17,136,95,69.9%,1196,12.6,7,57,54.4,45,8.8,5.6,70.4,1,SmitDe07
9,12,D.K. Metcalf,SEA,25,WR,17,17,141,90,63.8%,1048,11.6,6,47,49.6,54,7.4,5.3,61.6,2,MetcDK00
10,13,A.J. Brown*,PHI,25,WR,17,16,145,88,60.7%,1496,17.0,11,59,51.7,78,10.3,5.2,88.0,2,BrowAJ00
11,14,Ja'Marr Chase*,CIN,22,WR,12,12,134,87,64.9%,1046,12.0,9,58,55.2,60,7.8,7.3,87.2,2,ChasJa00
12,16,Diontae Johnson,PIT,26,WR,17,17,147,86,58.5%,882,10.3,0,45,49.0,37,6.0,5.1,51.9,1,JohnDi01
13,18,Christian Kirk,JAX,26,WR,17,17,133,84,63.2%,1108,13.2,8,55,52.6,49,8.3,4.9,65.2,1,KirkCh01
14,19,Tyler Lockett,SEA,30,WR,16,16,117,84,71.8%,1033,12.3,9,50,60.7,40,8.8,5.3,64.6,2,LockTy00
15,20,Garrett Wilson,NYJ,22,WR,17,12,147,83,56.5%,1103,13.3,4,56,47.6,60,7.5,4.9,64.9,2,WilsGa00
16,21,Zay Jones,JAX,27,WR,16,15,121,82,67.8%,823,10.0,5,44,54.5,59,6.8,5.1,51.4,0,JoneZa00
17,22,Brandon Aiyuk,SFO,24,WR,17,17,114,78,68.4%,1015,13.0,8,47,59.6,54,8.9,4.6,59.7,1,AiyuBr00
18,23,Amari Cooper,CLE,28,WR,17,17,132,78,59.1%,1160,14.9,9,61,53.0,55,8.8,4.6,68.2,0,CoopAm00
19,24,JuJu Smith-Schuster,KAN,26,WR,16,14,101,78,77.2%,933,12.0,3,47,67.3,53,9.2,4.9,58.3,3,SmitJu00
20,25,Mike Evans,TAM,29,WR,15,15,127,77,60.6%,1124,14.6,6,53,54.3,63,8.9,5.1,74.9,0,EvanMi00
21,26,Terry McLaurin*,WAS,27,WR,17,17,120,77,64.2%,1191,15.5,5,56,55.0,52,9.9,4.5,70.1,1,McLaTe00
22,27,Cooper Kupp,LAR,29,WR,9,9,98,75,76.5%,812,10.8,6,42,62.2,75,8.3,8.3,90.2,2,KuppCo00
23,28,Jaylen Waddle,MIA,24,WR,17,17,117,75,64.1%,1356,18.1,8,60,54.7,84,11.6,4.4,79.8,1,WaddJa00
24,29,Tee Higgins,CIN,23,WR,16,14,109,74,67.9%,1029,13.9,7,47,59.6,59,9.4,4.6,64.3,0,HiggTe00
25,34,Drake London,ATL,21,WR,17,15,117,72,61.5%,866,12.0,4,48,56.4,40,7.4,4.2,50.9,3,LondDr00
26,35,Chris Olave,NOR,22,WR,15,9,119,72,60.5%,1042,14.5,4,48,53.8,53,8.8,4.8,69.5,2,OlavCh00
27,36,Josh Palmer,LAC,24,WR,16,11,107,72,67.3%,769,10.7,3,39,55.1,50,7.2,4.5,48.1,1,PalmJo00
28,37,Adam Thielen,MIN,32,WR,17,17,107,70,65.4%,716,10.2,6,45,49.5,36,6.7,4.1,42.1,0,ThieAd00
29,39,Marquise Brown,ARI,25,WR,12,10,107,67,62.6%,709,10.6,3,33,44.9,47,6.6,5.6,59.1,1,BrowMa04
30,40,Jerry Jeudy,DEN,23,WR,15,14,100,67,67.0%,972,14.5,6,41,52.0,67,9.7,4.5,64.8,0,JeudJe00
31,41,Jakobi Meyers,NWE,26,WR,14,13,96,67,69.8%,804,12.0,6,38,56.3,48,8.4,4.8,57.4,2,MeyeJa01
32,42,Keenan Allen,LAC,30,WR,10,10,89,66,74.2%,752,11.4,4,39,56.2,46,8.4,6.6,75.2,1,AlleKe00
33,43,DeAndre Hopkins,ARI,30,WR,9,9,96,64,66.7%,717,11.2,3,35,54.2,33,7.5,7.1,79.7,2,HopkDe00
34,44,Curtis Samuel,WAS,26,WR,17,12,92,64,69.6%,656,10.3,4,36,46.7,49,7.1,3.8,38.6,1,SamuCu00
35,45,Courtland Sutton,DEN,27,WR,15,15,109,64,58.7%,829,13.0,2,38,46.8,51,7.6,4.3,55.3,0,SuttCo00
